Time (s),Ch1,Ch2
-0.000373136,2.562897909,2.643947979
-0.000373006,2.561098526,2.64935719
-0.000372876,2.564697291,2.638538767
-0.000372746,2.562897909,2.639440303
-0.000372616,2.568296056,2.64935719
-0.000372486,2.572794513,2.637637232
-0.000372356,2.578192661,2.643046444
-0.000372226,2.576393278,2.641243373
-0.000372096,2.578192661,2.64935719
-0.000371966,2.579092352,2.652963331
-0.000371836,2.576393278,2.64755412
-0.000371706,2.581791426,2.651160261
-0.000371576,2.5844905,2.64755412
-0.000371446,2.57729297,2.643046444
-0.000371316,2.590788339,2.645751049
-0.000371186,2.588988957,2.638538767
-0.000371056,2.591688031,2.641243373
-0.000370926,2.591688031,2.642144908
-0.000370796,2.596186487,2.64755412
-0.000370666,2.597086179,2.645751049
-0.000370536,2.601584635,2.645751049
-0.000370406,2.602484326,2.648455655
-0.000370276,2.596186487,2.646652585
-0.000370146,2.594387105,2.648455655
-0.000370016,2.606083092,2.64935719
-0.000369886,2.6051834,2.645751049
-0.000369756,2.606982783,2.64935719
-0.000369626,2.608782166,2.648455655
-0.000369496,2.615080005,2.642144908
-0.000369366,2.614180314,2.634031091
-0.000369236,2.614180314,2.626818809
-0.000369106,2.616879388,2.627720344
-0.000368976,2.616879388,2.629523415
-0.000368846,2.61867877,2.627720344
-0.000368716,2.620478153,2.625015739
-0.000368586,2.622277535,2.623212668
-0.000368456,2.619578462,2.620508062
-0.000368326,2.624076918,2.624114203
-0.000368196,2.624976609,2.634932626
-0.000368066,2.622277535,2.634932626
-0.000367936,2.623177227,2.637637232
-0.000367806,2.627675683,2.651160261
-0.000367676,2.628575375,2.651160261
-0.000367546,2.630374757,2.658372543
-0.000367416,2.633073831,2.662880219
-0.000367286,2.635772905,2.661077149
-0.000367156,2.633973523,2.661077149
-0.000367026,2.633973523,2.660175613
-0.000366896,2.64566951,2.658372543
-0.000366766,2.64566951,2.656569472
-0.000366636,2.646569201,2.661978684
-0.000366506,2.651067658,2.652061796
-0.000366376,2.639371671,2.64755412
-0.000366246,2.649268275,2.64755412
-0.000366116,2.65286704,2.646652585
-0.000365986,2.64566951,2.648455655
-0.000365856,2.654666423,2.645751049
-0.000365726,2.650167966,2.633129556
-0.000365596,2.659164879,2.634031091
-0.000365466,2.661863953,2.638538767
-0.000365336,2.654666423,2.629523415
-0.000365206,2.654666423,2.633129556
-0.000365076,2.65286704,2.631326485
-0.000364946,2.662763645,2.63042495
-0.000364816,2.663663336,2.635834162
-0.000364686,2.662763645,2.631326485
-0.000364556,2.665462719,2.633129556
-0.000364426,2.667262101,2.634031091
-0.000364296,2.670860867,2.634932626
-0.000364166,2.663663336,2.638538767
-0.000364036,2.66636241,2.643947979
-0.000363906,2.671760558,2.641243373
-0.000363776,2.669961175,2.661077149
-0.000363646,2.674459632,2.652963331
-0.000363516,2.678058397,2.650258726
-0.000363386,2.685255928,2.64935719
-0.000363256,2.683456545,2.652061796
-0.000363126,2.689754384,2.653864867
-0.000362996,2.683456545,2.645751049
-0.000362866,2.68705531,2.646652585
-0.000362736,2.680757471,2.644849514
-0.000362606,2.685255928,2.643046444
-0.000362476,2.685255928,2.638538767
-0.000362346,2.692453458,2.632228021
-0.000362216,2.691553767,2.634932626
-0.000362086,2.688854693,2.634932626
-0.000361956,2.68705531,2.635834162
-0.000361826,2.696951915,2.637637232
-0.000361696,2.699650989,2.642144908
-0.000361566,2.705948828,2.645751049
-0.000361436,2.705049137,2.645751049
-0.000361306,2.705948828,2.655667937
-0.000361176,2.702350063,2.654766402
-0.000361046,2.711346976,2.653864867
-0.000360916,2.707748211,2.661978684
-0.000360786,2.716745124,2.64935719
-0.000360656,2.712246667,2.653864867
-0.000360526,2.708647902,2.656569472
-0.000360396,2.710447285,2.659274078
-0.000360266,2.702350063,2.648455655
-0.000360136,2.717644815,2.651160261
-0.000360006,2.720343889,2.654766402
-0.000359876,2.728441111,2.655667937
-0.000359746,2.72124358,2.660175613
-0.000359616,2.720343889,2.656569472
-0.000359486,2.72754142,2.651160261
-0.000359356,2.72754142,2.64935719
-0.000359226,2.730240494,2.655667937
-0.000359096,2.729340802,2.655667937
-0.000358966,2.724842346,2.646652585
-0.000358836,2.738337715,2.652963331
-0.000358706,2.733839259,2.652061796
-0.000358576,2.738337715,2.64755412
-0.000358446,2.743735863,2.644849514
-0.000358316,2.735638641,2.643046444
-0.000358186,2.738337715,2.641243373
-0.000358056,2.736538333,2.644849514
-0.000357926,2.743735863,2.633129556
-0.000357796,2.750933394,2.634031091
-0.000357666,2.745535246,2.632228021
-0.000357536,2.744635555,2.638538767
-0.000357406,2.750033703,2.639440303
-0.000357276,2.745535246,2.635834162
-0.000357146,2.750933394,2.635834162
-0.000357016,2.749134011,2.635834162
-0.000356886,2.75543185,2.64755412
-0.000356756,2.760829998,2.644849514
-0.000356626,2.750033703,2.637637232
-0.000356496,2.759030616,2.642144908
-0.000356366,2.760829998,2.639440303
-0.000356236,2.759030616,2.643947979
-0.000356106,2.757231233,2.645751049
-0.000355976,2.774325368,2.640341838
-0.000355846,2.769826912,2.643947979
-0.000355716,2.767127838,2.640341838
-0.000355586,2.770726603,2.64755412
-0.000355456,2.770726603,2.644849514
-0.000355326,2.772525986,2.644849514
-0.000355196,2.778823825,2.645751049
-0.000355066,2.769826912,2.653864867
-0.000354936,2.778823825,2.648455655
-0.000354806,2.775225059,2.652963331
-0.000354676,2.785121664,2.652061796
-0.000354546,2.781522899,2.652963331
-0.000354416,2.786021355,2.652963331
-0.000354286,2.790519812,2.64935719
-0.000354156,2.792319194,2.642144908
-0.000354026,2.79591796,2.653864867
-0.000353896,2.796817651,2.64755412
-0.000353766,2.796817651,2.639440303
-0.000353636,2.797717342,2.645751049
-0.000353506,2.800416416,2.640341838
-0.000353376,2.796817651,2.643046444
-0.000353246,2.796817651,2.645751049
-0.000353116,2.804015182,2.640341838
-0.000352986,2.801316108,2.643947979
-0.000352856,2.800416416,2.646652585
-0.000352726,2.801316108,2.642144908
-0.000352596,2.810313021,2.642144908
-0.000352466,2.80941333,2.642144908
-0.000352336,2.811212712,2.643947979
-0.000352206,2.81661086,2.645751049
-0.000352076,2.815711169,2.648455655
-0.000351946,2.813012095,2.64755412
-0.000351816,2.814811477,2.648455655
-0.000351686,2.813012095,2.64755412
-0.000351556,2.81661086,2.648455655
-0.000351426,2.821109317,2.643046444
-0.000351296,2.821109317,2.653864867
-0.000351166,2.826507465,2.646652585
-0.000351036,2.827407156,2.643046444
-0.000350906,2.827407156,2.643046444
-0.000350776,2.827407156,2.64935719
-0.000350646,2.832805304,2.645751049
-0.000350516,2.834604686,2.654766402
-0.000350386,2.834604686,2.64935719
-0.000350256,2.836404069,2.655667937
-0.000350126,2.838203452,2.648455655
-0.000349996,2.835504378,2.64935719
-0.000349866,2.835504378,2.645751049
-0.000349736,2.8436016,2.653864867
-0.000349606,2.845400982,2.645751049
-0.000349476,2.848100056,2.648455655
-0.000349346,2.842701908,2.64935719
-0.000349216,2.847200365,2.64935719
-0.000349086,2.849899439,2.652061796
-0.000348956,2.852598513,2.64755412
-0.000348826,2.852598513,2.643046444
-0.000348696,2.854397895,2.64935719
-0.000348566,2.852598513,2.645751049
-0.000348436,2.860695735,2.643947979
-0.000348306,2.857996661,2.639440303
-0.000348176,2.857996661,2.643947979
-0.000348046,2.857996661,2.638538767
-0.000347916,2.861595426,2.650258726
-0.000347786,2.859796043,2.646652585
-0.000347656,2.861595426,2.641243373
-0.000347526,2.866993574,2.643046444
-0.000347396,2.863394809,2.64935719
-0.000347266,2.866093883,2.639440303
-0.000347136,2.863394809,2.648455655
-0.000347006,2.872391722,2.644849514
-0.000346876,2.870592339,2.642144908
-0.000346746,2.866093883,2.650258726
-0.000346616,2.870592339,2.645751049
-0.000346486,2.878689561,2.646652585
-0.000346356,2.884087709,2.640341838
-0.000346226,2.876890178,2.643947979
-0.000346096,2.882288326,2.652061796
-0.000345966,2.881388635,2.651160261
-0.000345836,2.879589252,2.652061796
-0.000345706,2.890385548,2.64935719
-0.000345576,2.885887092,2.64935719
-0.000345446,2.8849874,2.650258726
-0.000345316,2.895783696,2.651160261
-0.000345186,2.896683387,2.645751049
-0.000345056,2.891285239,2.64755412
-0.000344926,2.894884005,2.643046444
-0.000344796,2.893084622,2.644849514
-0.000344666,2.899382461,2.645751049
-0.000344536,2.89848277,2.648455655
-0.000344406,2.899382461,2.642144908
-0.000344276,2.896683387,2.64755412
-0.000344146,2.899382461,2.641243373
-0.000344016,2.907479683,2.642144908
-0.000343886,2.903880918,2.644849514
-0.000343756,2.907479683,2.640341838
-0.000343626,2.912877831,2.648455655
-0.000343496,2.910178757,2.64755412
-0.000343366,2.902081535,2.646652585
-0.000343236,2.917376288,2.64755412
-0.000343106,2.915576905,2.650258726
-0.000342976,2.916476596,2.643046444
-0.000342846,2.924573818,2.648455655
-0.000342716,2.921874744,2.64935719
-0.000342586,2.929072275,2.650258726
-0.000342456,2.921874744,2.653864867
-0.000342326,2.91917567,2.650258726
-0.000342196,2.924573818,2.646652585
-0.000342066,2.922774436,2.657471008
-0.000341936,2.923674127,2.653864867
-0.000341806,2.924573818,2.646652585
-0.000341676,2.930871657,2.646652585
-0.000341546,2.930871657,2.652963331
-0.000341416,2.938968879,2.644849514
-0.000341286,2.936269805,2.645751049
-0.000341156,2.942567645,2.650258726
-0.000341026,2.933570731,2.644849514
-0.000340896,2.938968879,2.639440303
-0.000340766,2.942567645,2.652061796
-0.000340636,2.938968879,2.643046444
-0.000340506,2.947965792,2.641243373
-0.000340376,2.942567645,2.640341838
-0.000340246,2.945266718,2.645751049
-0.000340116,2.949765175,2.643947979
-0.000339986,2.948865484,2.646652585
-0.000339856,2.954263632,2.639440303
-0.000339726,2.958762088,2.637637232
-0.000339596,2.952464249,2.639440303
-0.000339466,2.954263632,2.636735697
-0.000339336,2.957862397,2.641243373
-0.000339206,2.961461162,2.64935719
